ID;LATITUDE;LONGITUDE;Mun/UF;MUNICIPIO;UF;Valor
3225;-25,36;-49,45;CAMPO MAGRO - PR;CAMPO MAGRO;PR;111523,407984256
3226;-24,04;-52,38;CAMPO MOURAO - PR;CAMPO MOURAO;PR;479622,990244086
3227;-24,56;-51,33;CANDIDO DE ABREU - PR;CANDIDO DE ABREU;PR;125254,79541527
3228;-25,66;-52,12;CANDOI - PR;CANDOI;PR;86122,6657576446
3229;-25,37;-52,12;CANTAGALO - PR;CANTAGALO;PR;81895,7642075403
3230;-25,67;-53,8;CAPANEMA - PR;CAPANEMA;PR;125227,659453593
3231;-25,47;-53,61;CAPITAO LEONIDAS MARQUES - PR;CAPITAO LEONIDAS MARQUES;PR;109038,252907455
3232;-24,91;-50,09;CARAMBEI - PR;CARAMBEI;PR;78562,3510850993
3233;-23,42;-49,72;CARLOPOLIS - PR;CARLOPOLIS;PR;77632,8771292073
3234;-24,95;-53,45;CASCAVEL - PR;CASCAVEL;PR;1492980,99039429
3235;-24,79;-50,01;CASTRO - PR;CASTRO;PR;374254,571321196
3236;-25,2;-53,15;CATANDUVAS - PR;CATANDUVAS;PR;69931,6096933015
3237;-22,82;-51,59;CENTENARIO DO SUL - PR;CENTENARIO DO SUL;PR;85950,3295269146
3238;-24,82;-49,26;CERRO AZUL - PR;CERRO AZUL;PR;116292,498775169
3239;-25,14;-53,84;CEU AZUL - PR;CEU AZUL;PR;70517,1157044704
3240;-25,85;-52,52;CHOPINZINHO - PR;CHOPINZINHO;PR;123877,966518033
3241;-23,66;-52,6;CIANORTE - PR;CIANORTE;PR;324981,919097859
3242;-23,38;-52,94;CIDADE GAUCHA - PR;CIDADE GAUCHA;PR;62795,5124245831
3243;-26,39;-52,47;CLEVELANDIA - PR;CLEVELANDIA;PR;114189,245089151
3244;-25,29;-49,22;COLOMBO - PR;COLOMBO;PR;964857,297952038
3245;-22,83;-51,97;COLORADO - PR;COLORADO;PR;138683,007004299
3246;-23,55;-50,55;CONGONHINHAS - PR;CONGONHINHAS;PR;51045,5180466655
3247;-23,63;-50,16;CONSELHEIRO MAIRINCK - PR;CONSELHEIRO MAIRINCK;PR;22564,1110629599
3248;-25,67;-49,53;CONTENDA - PR;CONTENDA;PR;76596,470507056
3249;-24,79;-53,3;CORBELIA - PR;CORBELIA;PR;106151,287215657
3250;-23,18;-50,64;CORNELIO PROCOPIO - PR;CORNELIO PROCOPIO;PR;306320,115042131
3251;-26,22;-52,03;CORONEL DOMINGOS SOARES - PR;CORONEL DOMINGOS SOARES;PR;39621,7313419298
3252;-25,98;-52,56;CORONEL VIVIDA - PR;CORONEL VIVIDA;PR;148272,812962774
3253;-24,1;-52,12;CORUMBATAI DO SUL - PR;CORUMBATAI DO SUL;PR;32866,4851377848
3254;-26,01;-51,34;CRUZ MACHADO - PR;CRUZ MACHADO;PR;108068,333032339
3255;-25,61;-53,12;CRUZEIRO DO IGUACU - PR;CRUZEIRO DO IGUACU;PR;33065,2999399722
3256;-23,78;-53,07;CRUZEIRO DO OESTE - PR;CRUZEIRO DO OESTE;PR;143256,129332379
3257;-22,96;-52,16;CRUZEIRO DO SUL - PR;CRUZEIRO DO SUL;PR;31469,4595652441
3258;-24,01;-51,45;CRUZMALTINA - PR;CRUZMALTINA;PR;19873,0283719166
3259;-25,42;-49,27;CURITIBA - PR;CURITIBA;PR;1476253
3260;-24,03;-50,45;CURIUVA - PR;CURIUVA;PR;81189,6500531897
3261;-22,65;-52,86;DIAMANTE DO NORTE - PR;DIAMANTE DO NORTE;PR;29469,3452792143
3262;-25,04;-52,68;DIAMANTE DO SUL - PR;DIAMANTE DO SUL;PR;38947,6928175834
3263;-24,94;-54,1;DIAMANTE D'OESTE - PR;DIAMANTE D'OESTE;PR;23167,0288773095
3264;-25,73;-53,05;DOIS VIZINHOS - PR;DOIS VIZINHOS;PR;213968,063551847
3265;-23,38;-53,29;DOURADINA - PR;DOURADINA;PR;34622,1050885358
3266;-23,55;-52,21;DOUTOR CAMARGO - PR;DOUTOR CAMARGO;PR;37700,6218448348
3267;-24,56;-49,42;DOUTOR ULYSSES - PR;DOUTOR ULYSSES;PR;38714,2999379247
3268;-25,94;-53,16;ENEAS MARQUES - PR;ENEAS MARQUES;PR;40834,2475547215
3269;-23,79;-52,26;ENGENHEIRO BELTRAO - PR;ENGENHEIRO BELTRAO;PR;96804,2606163386
3270;-24,7;-54,23;ENTRE RIOS DO OESTE - PR;ENTRE RIOS DO OESTE;PR;19503,1350386172
3271;-23,72;-53,81;ESPERANCA NOVA - PR;ESPERANCA NOVA;PR;15043,2075867087
3272;-25,42;-52,83;ESPIGAO ALTO DO IGUACU - PR;ESPIGAO ALTO DO IGUACU;PR;38276,1510692538
3273;-24,1;-52,62;FAROL - PR;FAROL;PR;27114,447930769
3274;-24;-51,32;FAXINAL - PR;FAXINAL;PR;114287,596882652
3275;-25,65;-49,3;FAZENDA RIO GRANDE - PR;FAZENDA RIO GRANDE;PR;288648,889994576
3276;-23,91;-51,97;FENIX - PR;FENIX;PR;35035,043671866
3277;-25,41;-50,54;FERNANDES PINHEIRO - PR;FERNANDES PINHEIRO;PR;37438,4794240012
3278;-23,84;-50,4;FIGUEIRA - PR;FIGUEIRA;PR;65006,4084466984
3279;-26,26;-53,3;FLOR DA SERRA DO SUL - PR;FLOR DA SERRA DO SUL;PR;34092,5794158173
3280;-23,31;-52,3;FLORAI - PR;FLORAI;PR;36268,3926733699
3281;-23,59;-52,08;FLORESTA - PR;FLORESTA;PR;29283,5478419038
3282;-22,86;-51,38;FLORESTOPOLIS - PR;FLORESTOPOLIS;PR;84555,1831509422
3283;-23,08;-51,95;FLORIDA - PR;FLORIDA;PR;15581,5050280481
3284;-24,29;-53,31;FORMOSA DO OESTE - PR;FORMOSA DO OESTE;PR;65235,7223015127
3285;-25,54;-54,58;FOZ DO IGUACU - PR;FOZ DO IGUACU;PR;1413523,50737083
3286;-25,64;-52,1;FOZ DO JORDAO - PR;FOZ DO JORDAO;PR;42036,9517224719
3287;-24,06;-53,84;FRANCISCO ALVES - PR;FRANCISCO ALVES;PR;46626,8771283737
3288;-26,08;-53,05;FRANCISCO BELTRAO - PR;FRANCISCO BELTRAO;PR;425392,006716707
3289;-26,42;-51,31;GENERAL CARNEIRO - PR;GENERAL CARNEIRO;PR;85852,3038413719
3290;-24,17;-51,92;GODOY MOREIRA - PR;GODOY MOREIRA;PR;25690,0231583254
3291;-24,18;-53,02;GOIOERE - PR;GOIOERE;PR;209281,34361469
3292;-25,19;-51,99;GOIOXIM - PR;GOIOXIM;PR;51492,5771719362
3293;-24,14;-51,5;GRANDES RIOS - PR;GRANDES RIOS;PR;48674,4872406647
3294;-24,08;-54,25;GUAIRA - PR;GUAIRA;PR;194647,710373536
3295;-22,93;-52,68;GUAIRACA - PR;GUAIRACA;PR;35187,8006216654
3296;-25,19;-50,8;GUAMIRANGA - PR;GUAMIRANGA;PR;44977,149835671
3297;-23,51;-50,04;GUAPIRAMA - PR;GUAPIRAMA;PR;24208,356902188
3298;-23,34;-52,77;GUAPOREMA - PR;GUAPOREMA;PR;13906,6221871722
3299;-22,97;-51,65;GUARACI - PR;GUARACI;PR;33826,731540615
3300;-25,1;-52,87;GUARANIACU - PR;GUARANIACU;PR;121715,425907316
3301;-25,39;-51,45;GUARAPUAVA - PR;GUARAPUAVA;PR;1042936,09309987
3302;-25,3;-48,32;GUARAQUECABA - PR;GUARAQUECABA;PR;53320,7775333112
3303;-25,88;-48,57;GUARATUBA - PR;GUARATUBA;PR;204524,61056167
3304;-26,14;-52,38;HONORIO SERPA - PR;HONORIO SERPA;PR;47938,7287342211
3305;-23,84;-50,18;IBAITI - PR;IBAITI;PR;156884,660439591
3306;-25,1;-53,01;IBEMA - PR;IBEMA;PR;43003,1041084371
3307;-23,26;-51,04;IBIPORA - PR;IBIPORA;PR;241807,069270045
3308;-23,39;-53,61;ICARAIMA - PR;ICARAIMA;PR;64893,968714932
3309;-23,19;-51,82;IGUARACU - PR;IGUARACU;PR;22461,7390371484
3310;-24,64;-53,13;IGUATU - PR;IGUATU;PR;15714,7122351925
3311;-24,44;-50,76;IMBAU - PR;IMBAU;PR;56266,6642735774
3312;-25,23;-50,6;IMBITUVA - PR;IMBITUVA;PR;138525,988100547
3313;-25,57;-51,07;INACIO MARTINS - PR;INACIO MARTINS;PR;64440,1009237637
3314;-22,74;-52,19;INAJA - PR;INAJA;PR;17742,9455751022
3315;-23,47;-52,69;INDIANOPOLIS - PR;INDIANOPOLIS;PR;29591,89718144
3316;-25,02;-50,58;IPIRANGA - PR;IPIRANGA;PR;85371,9411962302
3317;-24;-53,7;IPORA - PR;IPORA;PR;114126,996379792
3318;-24,42;-53,35;IRACEMA DO OESTE - PR;IRACEMA DO OESTE;PR;19104,6263059225
3319;-25,46;-50,65;IRATI - PR;IRATI;PR;349575,782455058
3320;-24,42;-52,1;IRETAMA - PR;IRETAMA;PR;76136,8665717397
3321;-22,61;-51,96;ITAGUAJE - PR;ITAGUAJE;PR;30143,3595628025
3322;-25,13;-54,3;ITAIPULANDIA - PR;ITAIPULANDIA;PR;30973,3652758336
3323;-23,01;-50,4;ITAMBARACA - PR;ITAMBARACA;PR;46689,4107919768
3324;-23,66;-51,99;ITAMBE - PR;ITAMBE;PR;41063,5482592821
3325;-25,96;-52,81;ITAPEJARA D'OESTE - PR;ITAPEJARA D'OESTE;PR;62016,1326721987
3326;-25,22;-49,34;ITAPERUCU - PR;ITAPERUCU;PR;119605,261500847
3327;-22,73;-52,88;ITAUNA DO SUL - PR;ITAUNA DO SUL;PR;29502,7329800881
3328;-25,01;-50,85;IVAI - PR;IVAI;PR;71838,6212957791
3329;-24,24;-51,68;IVAIPORA - PR;IVAIPORA;PR;228974,807371157
3330;-23,4;-53,36;IVATE - PR;IVATE;PR;44037,6229631832
3331;-23,61;-52,22;IVATUBA - PR;IVATUBA;PR;17855,0169245629
3332;-23,74;-50,07;JABOTI - PR;JABOTI;PR;27437,3828627536
3333;-23,16;-49,96;JACAREZINHO - PR;JACAREZINHO;PR;262741,904576275
3334;-23,11;-51,53;JAGUAPITA - PR;JAGUAPITA;PR;75352,6293978627
3335;-24,25;-49,7;JAGUARIAIVA - PR;JAGUARIAIVA;PR;161451,605548975
3336;-23,6;-51,64;JANDAIA DO SUL - PR;JANDAIA DO SUL;PR;124995,835894557
3337;-24,14;-52,78;JANIOPOLIS - PR;JANIOPOLIS;PR;63237,7946600507
3338;-23,81;-50,13;JAPIRA - PR;JAPIRA;PR;26355,053430616
3339;-23,47;-52,55;JAPURA - PR;JAPURA;PR;52613,3959602177
3340;-24,17;-51,69;JARDIM ALEGRE - PR;JARDIM ALEGRE;PR;69597,8577943946
3341;-22,54;-52,06;JARDIM OLINDA - PR;JARDIM OLINDA;PR;8938,67534857306
3342;-23,25;-50,98;JATAIZINHO - PR;JATAIZINHO;PR;75277,871483011
3343;-24,38;-53,38;JESUITAS - PR;JESUITAS;PR;65112,9968269393
3344;-23,49;-49,9;JOAQUIM TAVORA - PR;JOAQUIM TAVORA;PR;63890,2192645913
3345;-23,43;-50,24;JUNDIAI DO SUL - PR;JUNDIAI DO SUL;PR;22390,7723971668
3346;-24,42;-52,84;JURANDA - PR;JURANDA;PR;59118,485155093
3347;-23,62;-52,46;JUSSARA - PR;JUSSARA;PR;41380,8464904007
3348;-23,81;-51,66;KALORE - PR;KALORE;PR;36357,0179250194
3349;-25,77;-49,71;LAPA - PR;LAPA;PR;263604,918296371
3350;-24,88;-52,46;LARANJAL - PR;LARANJAL;PR;48333,4927600748
3351;-25,4;-52,41;LARANJEIRAS DO SUL - PR;LARANJEIRAS DO SUL;PR;257154,004110765
